角色名,别名,启用,初登场年份（类型：ordered）,初登场作品（类型：exact）,发色（类型：exact-multi）,是敌人吗？（仅整数非对战新作）（类型：category-multi）,是自机吗？（类型：category-multi）,所属地点（类型：category-multi）,种族（类型：category-multi）
日白残无,,是,2023,东方兽王园,黑/棕色,不是,是 > 是弹幕作,异界 > 地狱,妖怪 > 鬼
戎璎花,,是,2019,东方鬼形兽,银/白/灰色,是 > 是第1面,不是,异界 > 彼岸/三途河,妖怪
若鹭姬,,是,2013,东方辉针城,蓝色,是 > 是第1面,不是,雾之湖周边 > 雾之湖 | 其他/不定,妖怪
三头慧之子,,是,2023,东方兽王园,银/白/灰色,不是,是 > 是弹幕作,魔法森林,妖怪
桑尼米尔克,,是,2005,东方三月精,橙色,不是,不是,魔法森林 | 博丽神社 | 其他/不定,妖怪 > 妖精
森近霖之助,,是,2004,东方香霖堂,银/白/灰色,不是,不是,魔法森林 > 香霖堂,妖怪 > 半人
山城高岭,,是,2021,东方虹龙洞,绿色,是 > 是第2面,不是,妖怪之山,妖怪
上白泽慧音,,是,2004,东方永夜抄,蓝色 | 绿色 | 银/白/灰色,是 > 是第3面 | 是 > 是EX/PH面,不是,人类村落,妖怪 > 半人
少名针妙丸,,是,2013,东方辉针城,紫色,是 > 是第6面,是 > 是格斗作,幻想乡上空 > 辉针城,妖怪
射命丸文,,是,2005,东方文花帖（书籍）,黑/棕色,是 > 是第4面,是 > 是弹幕作 | 是 > 是格斗作,妖怪之山,妖怪 > 天狗
圣白莲,,是,2009,东方星莲船,紫色 | 金色,是 > 是第6面,是 > 是格斗作,命莲寺,妖怪 > 魔法使
十六夜咲夜,,是,2002,东方红魔乡,银/白/灰色,是 > 是第5面 | 是 > 是第6面,是 > 是弹幕作 | 是 > 是格斗作,雾之湖周边 > 红魔馆,人类
矢田寺成美,,是,2017,东方天空璋,黑/棕色,是 > 是第4面,不是,魔法森林,妖怪 > 魔法使
水桥帕露西,,是,2008,东方地灵殿,金色,是 > 是第2面,不是,地底 > 旧地狱,妖怪
斯塔萨菲雅,,是,2005,东方三月精,黑/棕色,不是,不是,魔法森林 | 博丽神社 | 其他/不定,妖怪 > 妖精
四季映姬·夜摩仙那度,,是,2005,东方花映塚,绿色,不是,是 > 是弹幕作,异界 > 彼岸/三途河,神明
苏我屠自古,,是,2011,东方神灵庙,绿色,是 > 是第5面,不是,异界 > 神灵庙 | 异界 > 仙界,妖怪 > 亡灵 | 妖怪 > 怨灵
孙美天,,是,2023,东方兽王园,黑/棕色,不是,是 > 是弹幕作,妖怪之山 > 圣域,妖怪
饕餮尤魔,,是,2021,东方刚欲异闻,银/白/灰色,不是,是 > 是弹幕作 | 是 > 是格斗作,地底 > 旧血池地狱,妖怪
藤原妹红,,是,2004,东方永夜抄,银/白/灰色,是 > 是EX/PH面,是 > 是格斗作,迷途竹林,人类
天弓千亦,,是,2021,东方虹龙洞,蓝色 | 紫色,是 > 是第6面,不是,妖怪之山,神明
天火人血枪,,是,2023,东方兽王园,紫色,不是,是 > 是弹幕作,地底 > 旧血池地狱,妖怪
庭渡久侘歌,,是,2019,东方鬼形兽,金色,是 > 是第3面 | 是 > 是EX/PH面,不是,异界 > 地狱 | 妖怪之山,神明 > 八百万之神
维缦·浅间,,是,2025,东方锦上京,银/白/灰色,是 > 是第4面 | 是 > 是EX/PH面,不是,地底 > 浅间净秽山,神明
无名的读书妖怪,朱鹭子,是,2004,东方香霖堂,银/白/灰色,不是,不是,魔法森林 > 香霖堂 | 其他/不定,妖怪
物部布都,,是,2011,东方神灵庙,银/白/灰色,是 > 是第5面,是 > 是格斗作,异界 > 神灵庙 | 异界 > 仙界,神明 > 仙人/天人
雾雨魔理沙,,是,1997,东方封魔录,金色,是 > 是第4面,是 > 是弹幕作 | 是 > 是格斗作,魔法森林,人类
西行寺幽幽子,,是,2003,东方妖妖梦,粉色,是 > 是第1面 | 是 > 是第6面,是 > 是弹幕作 | 是 > 是格斗作,异界 > 冥界,妖怪 > 亡灵
稀神探女,,是,2015,东方绀珠传,银/白/灰色,是 > 是第4面,不是,异界 > 月之都,神明 > 月之民
小恶魔,,是,2002,东方红魔乡,红色,是 > 是第4面,不是,雾之湖周边 > 红魔馆,妖怪
小野塚小町,,是,2005,东方花映塚,红色,不是,是 > 是弹幕作 | 是 > 是格斗作,异界 > 彼岸/三途河,神明
洩矢诹访子,,是,2007,东方风神录,金色,是 > 是EX/PH面,是 > 是格斗作,妖怪之山 > 守矢神社,神明 > 八百万之神
星熊勇仪,,是,2008,东方地灵殿,金色,是 > 是第3面,不是,地底 > 旧地狱,妖怪 > 鬼
伊吹萃香,,是,2004,东方萃梦想,金色,不是,是 > 是弹幕作 | 是 > 是格斗作,妖怪之山,妖怪 > 鬼
依神女苑,,是,2017,东方凭依华,金色,不是,是 > 是格斗作,其他/不定,神明
依神紫苑,,是,2017,东方凭依华,蓝色,不是,是 > 是格斗作,其他/不定,神明
因幡天为,,是,2004,东方永夜抄,黑/棕色,是 > 是第5面,是 > 是弹幕作,迷途竹林 > 永远亭,妖怪 > 妖兽
寅丸星,,是,2009,东方星莲船,金色,是 > 是第5面,不是,命莲寺,妖怪 > 妖兽
永江衣玖,,是,2008,东方绯想天,紫色,不是,是 > 是格斗作,幻想乡上空 > 玄云海,妖怪
幽谷响子,,是,2011,东方神灵庙,绿色,是 > 是第2面,不是,命莲寺 | 妖怪之山,妖怪 > 妖兽
宇佐见堇子,,是,2015,东方深秘录,黑/棕色,不是,是 > 是弹幕作 | 是 > 是格斗作,外面世界 | 博丽神社 | 魔法森林 > 香霖堂,人类
玉造魅须丸,,是,2021,东方虹龙洞,黑/棕色,是 > 是第4面,不是,其他/不定,神明
豫母都日狭美,,是,2023,东方兽王园,黑/棕色,不是,是 > 是弹幕作,异界 > 地狱,妖怪
云居一轮&云山,,是,2009,东方星莲船,紫色,是 > 是第3面,是 > 是格斗作,命莲寺,妖怪
杖刀偶磨弓,,是,2019,东方鬼形兽,金色,是 > 是第5面 | 是 > 是第6面,不是,异界 > 地狱 | 异界 > 畜生界,妖怪
埴安神袿姬,,是,2019,东方鬼形兽,蓝色,是 > 是第6面,不是,异界 > 地狱 | 异界 > 畜生界,神明
Reisen,铃仙二号,是,2007,东方儚月抄,蓝色,不是,不是,异界 > 月之都,妖怪 > 月兔
