角色名,别名,启用,初登场作品（类型：exact）,发色（类型：exact-multi）,所属地点（类型：category-multi）,种族（类型：category-multi）,是自机吗？（类型：category-multi）,初登场年份（类型：ordered）,是敌人吗？（仅整数非对战新作）（类型：category-multi）
村纱水蜜,,是,东方星莲船,黑/棕色,命莲寺,妖怪 > 船幽灵,是 > 是格斗作,2009,是 > 是第4面
娜兹玲,,是,东方星莲船,银色,命莲寺 | 其他/不定,妖怪 > 妖兽,是 > 是弹幕作,2009,是 > 是第1面 | 是 > 是第5面
寅丸星,,是,东方星莲船,金色,命莲寺,妖怪 > 妖兽,不是,2009,是 > 是第5面
圣白莲,,是,东方星莲船,紫色 | 金色,命莲寺,妖怪 > 魔法使,是 > 是格斗作,2009,是 > 是第6面
封兽鵺,,是,东方星莲船,黑/棕色,命莲寺,妖怪,不是,2009,是 > 是第4面 | 是 > 是第6面 | 是 > 是EX/PH面
姬海棠果,,是,东方文花帖DS,黑/棕色,妖怪之山,妖怪 > 天狗,是 > 是弹幕作,2010,不是
幽谷响子,,是,东方神灵庙,绿色,命莲寺 | 妖怪之山,妖怪 > 妖兽,不是,2011,是 > 是第2面
云居一轮&云山,,是,东方星莲船,紫色,命莲寺,妖怪,是 > 是格斗作,2009,是 > 是第3面
霍青娥,,是,东方神灵庙,蓝色,其他/不定,神明 > 仙人,不是,2011,是 > 是第4面
宫古芳香,,是,东方神灵庙,蓝色,命莲寺 > 命莲寺墓地,妖怪 > 僵尸,不是,2011,是 > 是第3面 | 是 > 是第4面
物部布都,,是,东方神灵庙,银/白/灰色,异界 > 神灵庙 | 异界 > 仙界,神明 > 仙人,是 > 是格斗作,2011,是 > 是第5面
苏我屠自古,,是,东方神灵庙,绿色,异界 > 神灵庙 | 异界 > 仙界,妖怪 > 亡灵,不是,2011,是 > 是第5面
丰聪耳神子,,是,东方神灵庙,金色,异界 > 神灵庙 | 异界 > 仙界,神明 > 仙人,是 > 是格斗作,2011,是 > 是第6面
二岩猯藏,,是,东方神灵庙,黑/棕色,命莲寺 | 魔法森林,妖怪 > 妖兽,是 > 是弹幕作 | 是 > 是格斗作,2011,是 > 是EX/PH面
宇佐见堇子,,是,东方深秘录,黑/棕色,外面世界 | 博丽神社 | 香霖堂,人类 > 女子高中生,是 > 是弹幕作 | 是 > 是格斗作,2015,不是
清兰,,是,东方绀珠传,蓝色,异界 > 月之都,妖怪 > 月兔,是 > 是弹幕作,2015,是 > 是第1面
铃瑚,,是,东方绀珠传,金色,异界 > 月之都,妖怪 > 月兔,不是,2015,是 > 是第2面
哆来咪·苏伊特,,是,东方绀珠传,蓝色,异界 > 梦境世界,妖怪 > 妖兽,是 > 是格斗作,2015,是 > 是第3面 | 是 > 是EX/PH面
稀神探女,,是,东方绀珠传,银/白/灰色,异界 > 月之都,神明 > 月之民,不是,2015,是 > 是第4面
纯狐,,是,东方绀珠传,金色,异界 > 仙界 | 其他/不定,神明 > 神灵,不是,2015,是 > 是第6面 | 是 > 是EX/PH面
赫卡提亚·拉碧斯拉祖利,,是,东方绀珠传,金色 | 红色 | 蓝色,异界 > 地狱 | 异界 | 其他/不定,神明 > 神灵,不是,2015,是 > 是EX/PH面
克劳恩皮丝,,是,东方绀珠传,金色,异界 > 地狱 | 博丽神社,妖怪 > 妖精,不是,2015,是 > 是第5面
依神紫苑,,是,东方凭依华,蓝色,其他/不定,神明 > 贫穷神,是 > 是格斗作,2017,不是
依神女苑,,是,东方凭依华,金色,其他/不定,神明 > 疫病神,是 > 是格斗作,2017,不是
蕾蒂·霍瓦特洛克,,是,东方妖妖梦,蓝色,其他/不定,妖怪,不是,2003,是 > 是第1面
露娜萨·普莉兹姆利巴,,是,东方妖妖梦,金色,其他/不定,妖怪 > 骚灵,是 > 是弹幕作,2003,是 > 是第4面
梅露兰·普莉兹姆利巴,,是,东方妖妖梦,蓝色,其他/不定,妖怪 > 骚灵,是 > 是弹幕作,2003,是 > 是第4面
莉莉卡·普莉兹姆利巴,,是,东方妖妖梦,银/白/灰色,其他/不定,妖怪 > 骚灵,是 > 是弹幕作,2003,是 > 是第4面
爱丽丝·玛格特洛依德,,是,东方怪绮谈,金色,魔法森林,妖怪 > 魔法使,是 > 是弹幕作 | 是 > 是格斗作,2003,是 > 是第3面
西行寺幽幽子,,是,东方妖妖梦,粉色,异界 > 冥界,妖怪 > 亡灵,是 > 是弹幕作 | 是 > 是格斗作,2003,是 > 是第1面 | 是 > 是第6面
魂魄妖梦,,是,东方妖妖梦,银/白/灰色,异界 > 冥界,妖怪 > 半人半灵,是 > 是弹幕作 | 是 > 是格斗作,2003,是 > 是第5面 | 是 > 是第6面
八云紫,,是,东方妖妖梦,金色,其他/不定,妖怪,是 > 是弹幕作 | 是 > 是格斗作,2003,是 > 是EX/PH面
八云蓝,,是,东方妖妖梦,金色,其他/不定,妖怪 > 妖兽,是 > 是弹幕作,2003,是 > 是EX/PH面
橙,,是,东方妖妖梦,黑/棕色,妖怪之山,妖怪 > 妖兽,不是,2003,是 > 是第2面 | 是 > 是EX/PH面
秋静叶,,是,东方风神录,金色,妖怪之山,神明 > 八百万之神,不是,2007,是 > 是第1面
秋穰子,,是,东方风神录,金色,妖怪之山,神明 > 八百万之神,不是,2007,是 > 是第1面
键山雏,,是,东方风神录,绿色,妖怪之山,神明 > 厄神,不是,2007,是 > 是第2面
河城荷取,,是,东方风神录,蓝色,妖怪之山,妖怪 > 河童,是 > 是格斗作,2007,是 > 是第3面
东风谷早苗,,是,东方风神录,绿色,妖怪之山 > 守矢神社,人类 > 人类,是 > 是弹幕作 | 是 > 是格斗作,2007,是 > 是第5面 | 是 > 是EX/PH面
八坂神奈子,,是,东方风神录,蓝色,妖怪之山 > 守矢神社,神明 > 神灵,不是,2007,是 > 是第6面 | 是 > 是EX/PH面
洩矢诹访子,,是,东方风神录,金色,妖怪之山 > 守矢神社,神明 > 八百万之神,是 > 是格斗作,2007,是 > 是EX/PH面
秦心,,是,东方心绮楼,粉色,人类村落 | 其他/不定,妖怪 > 面灵气,是 > 是格斗作,2013,不是
若鹭姬,,是,东方辉针城,蓝色,雾之湖周边 > 雾之湖 | 其他/不定,妖怪 > 人鱼,不是,2013,是 > 是第1面
赤蛮奇,,是,东方辉针城,红色,其他/不定,妖怪 > 辘轳首,不是,2013,是 > 是第2面
今泉影狼,,是,东方辉针城,黑/棕色,迷途竹林 | 其他/不定,妖怪 > 狼女,不是,2013,是 > 是第3面
九十九弁弁,,是,东方辉针城,蓝色 | 紫色,其他/不定,妖怪 > 付丧神,不是,2013,是 > 是第4面 | 是 > 是EX/PH面
九十九八桥,,是,东方辉针城,黑/棕色,其他/不定,妖怪 > 付丧神,不是,2013,是 > 是第4面 | 是 > 是EX/PH面
鬼人正邪,,是,东方辉针城,黑/棕色 | 花色,幻想乡上空 > 辉针城 | 其他/不定,妖怪 > 天邪鬼,是 > 是弹幕作,2013,是 > 是第5面 | 是 > 是第6面
少名针妙丸,,是,东方辉针城,紫色,幻想乡上空 > 辉针城,妖怪 > 小人,是 > 是格斗作,2013,是 > 是第6面
堀川雷鼓,,是,东方辉针城,红色,其他/不定,妖怪 > 付丧神,不是,2013,是 > 是EX/PH面
爱塔妮缇拉尔瓦,,是,东方天空璋,蓝色,太阳花田,妖怪 > 妖精,不是,2017,是 > 是第1面
坂田合欢,,是,东方天空璋,金色,妖怪之山 > 圣域,妖怪 > 山姥,不是,2017,是 > 是第2面
高丽野阿吽,,是,东方天空璋,绿色,博丽神社,妖怪 > 狛犬,是 > 是弹幕作,2017,是 > 是第3面
矢田寺成美,,是,东方天空璋,黑/棕色,魔法森林,妖怪 > 地藏,不是,2017,是 > 是第4面
尔子田里乃,,是,东方天空璋,黑/棕色,异界 > 后户,人类 > 人类,不是,2017,是 > 是第5面 | 是 > 是EX/PH面
丁礼田舞,,是,东方天空璋,绿色,异界 > 后户,人类 > 人类,不是,2017,是 > 是第5面 | 是 > 是EX/PH面
摩多罗隐岐奈,,是,东方天空璋,金色,异界 > 后户,神明 > 秘神,不是,2017,是 > 是第6面 | 是 > 是EX/PH面
戎璎花,,是,东方鬼形兽,银/白/灰色,异界 > 彼岸/三途河,妖怪 > 水子之灵,不是,2019,是 > 是第1面
牛崎润美,,是,东方鬼形兽,银/白/灰色 | 黑/棕色,异界 > 彼岸/三途河,妖怪 > 牛鬼,不是,2019,是 > 是第2面
庭渡久侘歌,,是,东方鬼形兽,金色,异界 > 地狱 | 妖怪之山,神明 > 八百万之神,不是,2019,是 > 是第3面 | 是 > 是EX/PH面
吉吊八千慧,,是,东方鬼形兽,金色,异界 > 地狱 | 异界 > 畜生界,妖怪,是 > 是弹幕作,2019,是 > 是第4面
杖刀偶磨弓,,是,东方鬼形兽,金色,异界 > 地狱 | 异界 > 畜生界,妖怪 > 埴轮,不是,2019,是 > 是第5面 | 是 > 是第6面
埴安神袿姬,,是,东方鬼形兽,蓝色,异界 > 地狱 | 异界 > 畜生界,神明 > 神明,不是,2019,是 > 是第6面
骊驹早鬼,,是,东方鬼形兽,黑/棕色,异界 > 地狱 | 异界 > 畜生界,妖怪 > 妖兽,是 > 是弹幕作,2019,是 > 是EX/PH面
犬走椛,,是,东方风神录,银/白/灰色,妖怪之山,妖怪 > 天狗,不是,2007,是 > 是第4面
琪斯美,,是,东方地灵殿,绿色,地底 > 昏暗的洞穴,妖怪 > 钓瓶落,不是,2008,是 > 是第1面
森近霖之助,,是,东方香霖堂,银/白/灰色,香霖堂,妖怪 > 半妖,不是,2004,不是
桑尼米尔克,,是,东方三月精,橙色,魔法森林 | 博丽神社 | 其他/不定,妖怪 > 妖精,不是,2005,不是
露娜切露德,,是,东方三月精,金色,魔法森林 | 博丽神社 | 其他/不定,妖怪 > 妖精,不是,2005,不是
斯塔萨菲雅,,是,东方三月精,黑/棕色,魔法森林 | 博丽神社 | 其他/不定,妖怪 > 妖精,不是,2005,不是
稗田阿求,,是,东方求闻史纪,紫色,人类村落,人类 > 人类,不是,2006,不是
绵月丰姬,,是,东方儚月抄,金色,异界 > 月之都,神明 > 月之民,不是,2007,是 > 是第5面
绵月依姬,,是,东方儚月抄,紫色,异界 > 月之都,神明 > 月之民,不是,2007,不是
Reisen,,是,东方儚月抄,蓝色,异界 > 月之都,妖怪 > 月兔,不是,2007,不是
本居小铃,,是,东方铃奈庵,橙色,人类村落,人类 > 人类,不是,2012,不是
茨木华扇,,是,东方茨歌仙,粉色,异界 > 仙界,神明 > 仙人 | 妖怪 > 鬼,是 > 是格斗作,2010,不是
奥野田美宵,,是,东方醉蝶华,粉色,人类村落,"妖怪 > 	座敷童子",不是,2019,不是
饕餮尤魔,,是,东方刚欲异闻,银/白/灰色,地底 > 旧血池地狱,妖怪 > 饕餮,是 > 是弹幕作 | 是 > 是格斗作,2021,不是
豪德寺三花,,是,东方虹龙洞,银/白/灰色 | 花色,妖怪之山,妖怪 > 招财猫,不是,2021,是 > 是第1面
山城高岭,,是,东方虹龙洞,绿色,妖怪之山,妖怪 > 山童,不是,2021,是 > 是第2面
驹草山如,驹草太夫,是,东方虹龙洞,紫色,妖怪之山,妖怪 > 山女郎,不是,2021,是 > 是第3面
玉造魅须丸,,是,东方虹龙洞,黑/棕色,其他/不定,神明 > 神明,不是,2021,是 > 是第4面
菅牧典,,是,东方虹龙洞,金色,妖怪之山,妖怪 > 管狐,是 > 是弹幕作,2021,是 > 是第5面 | 是 > 是第6面
饭纲丸龙,,是,东方虹龙洞,蓝色,妖怪之山,妖怪 > 天狗,不是,2021,是 > 是第5面
天弓千亦,,是,东方虹龙洞,蓝色 | 紫色,妖怪之山,神明 > 神明,不是,2021,是 > 是第6面
姬虫百百世,,是,东方虹龙洞,银/白/灰色,妖怪之山,妖怪 > 大蜈蚣,不是,2021,是 > 是EX/PH面
孙美天,,是,东方兽王园,黑/棕色,妖怪之山 > 圣域,妖怪 > 猿神,是 > 是弹幕作,2023,不是
三头慧之子,,是,东方兽王园,银/白/灰色,魔法森林,妖怪 > 山犬,是 > 是弹幕作,2023,不是
天火人血枪,,是,东方兽王园,紫色,旧血池地狱,妖怪 > 天火人,是 > 是弹幕作,2023,不是
豫母都日狭美,,是,东方兽王园,紫色,异界 > 地狱,妖怪 > 黄泉丑女,是 > 是弹幕作,2023,不是
日白残无,,是,东方兽王园,黑/棕色,异界 > 地狱,妖怪 > 人鬼,是 > 是弹幕作,2023,不是
尘塚姥芽,,是,东方锦上京,银/白/灰色,妖怪之山 > 圣域,妖怪 > 山姥,不是,2025,是 > 是第1面
封兽魑魅,,是,东方锦上京,银/白/灰色,妖怪之山 > 圣域,妖怪 > 魑魅,不是,2025,是 > 是第2面
道神驯子,,是,东方锦上京,蓝色,地底 > 浅间净秽山,神明 > 道祖神,不是,2025,是 > 是第3面
维缦·浅间,,是,东方锦上京,银/白/灰色,地底 > 浅间净秽山,神明 > 古神人,不是,2025,是 > 是第4面
磐永阿梨夜,,是,东方锦上京,黑/棕色,地底 > 浅间净秽山,神明 > 石之女神,不是,2025,是 > 是第6面
渡里贝子,渡里妮娜,是,东方锦上京,金色,地底 > 浅间净秽山 | 其他/不定,妖怪 > 蜃,不是,2025,是 > 是EX/PH面
宫出口瑞灵,反狱王,是,东方智灵奇传,蓝色,地底 > 旧地狱 | 其他/不定,妖怪 > 怨灵,不是,2022,不是
无名的读书妖怪,朱鹭子,是,东方香霖堂,银/白/灰色,香霖堂 | 其他/不定,妖怪,不是,2004,不是
